#Table1
objID,ra,dec,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,petroRad_r,petroRad_g,z,zErr
1237648704586253228,204.398095696666,0.0401819912332091,23.59421,22.11832,20.21834,19.38564,18.88232,3.39853,1.512805,0.4766893,0.0001172207
1237648704586253365,204.294126548337,0.182988498730728,24.89915,23.3094,21.48151,20.19854,19.54889,3.497121,1.233349,0.737768,0.0001816199
1237648704586317932,204.427328237431,0.200774550790559,20.53469,18.59777,17.43087,16.97247,16.61444,3.596756,3.531082,0.1615448,3.229986E-05
1237648704586318001,204.517204568522,0.153787592887826,20.78161,18.41754,17.09581,16.58287,16.22592,6.239424,6.520415,0.2081211,3.661093E-05
1237648704586318049,204.564808935737,0.0654917980456449,18.86904,17.33856,16.6038,16.20782,15.95463,6.813599,7.377237,0.08197466,1.096427E-05
1237648704586318297,204.44080408766,0.18054920134692,22.45743,21.06758,19.99763,19.18946,18.74579,7.356675,2.874956,0.0002289927,6.7825E-05
1237648704586318527,204.505680512196,0.20971367795019,23.87061,23.06364,20.99294,19.69843,19.18101,2.417508,2.970371,0.6757341,0.0001545218
1237648704586383551,204.658229976853,0.034765226436519,21.00779,19.07689,17.73929,17.23541,16.83646,3.624434,3.960869,0.219958,4.221515E-05
1237648704586383565,204.679194269107,0.174089883676744,19.14551,18.04771,17.56173,17.24048,17.04851,5.724438,5.473217,0.08386669,7.724351E-06
1237648704586383865,204.586607956368,0.0222171808792142,22.99311,22.06588,20.57635,19.74707,19.51837,3.643682,2.969107,0.5845231,0.0001998501
1237648704586384003,204.633635065192,0.19300455089989,23.86409,22.04233,20.21868,19.25041,18.85612,7.357468,2.969107,0.5861862,0.0002018953
1237648704586384199,204.69921254928,0.171150317482433,23.48697,22.4308,20.74839,19.72058,19.07604,2.86151,2.969107,0.5854512,0.0001885042
1237648704586384288,204.718125859529,0.0705423060130226,23.12864,22.09288,20.38101,19.50703,18.99669,1.887187,1.578579,0.4759541,0.0001171172
1237648704586384335,204.576572354165,0.147803385262961,23.04325,22.45035,20.61141,19.42557,18.91579,2.436859,2.969107,0.6021208,0.0002128141
1237648704586448951,204.72939476917,0.104855090219858,19.42416,17.97603,17.29479,16.88376,16.59611,4.315267,4.485138,0.08395544,7.05173E-06
1237648703509037704,196.428898662719,-0.630876994312932,22.59034,22.28877,21.18809,20.0661,19.74049,2.472632,2.189547,0.6838333,0.000122197
1237648703509037971,196.389789076346,-0.694248740734283,23.15419,22.82531,20.76846,19.84812,19.58682,2.313315,2.968696,0.4224373,0.0002027481
1237648703509037997,196.417727932537,-0.667848208861269,22.90089,22.56379,20.98486,19.68926,18.92513,3.420718,2.968696,0.6842009,0.0001608475
1237648703509038045,196.479788399677,-0.718012025974774,23.89636,22.43867,20.76097,19.67946,19.32264,2.716716,2.968696,0.5035014,0.0002750402
1237648703509038048,196.482531185055,-0.745879063110731,24.28602,23.22475,20.93204,19.74528,19.13798,3.666929,2.968696,0.6223917,0.0001309867
1237648703509102769,196.554898171107,-0.66414693910295,19.00659,17.46996,16.69207,16.29661,16.01036,6.962567,8.265408,0.08398743,1.721428E-05
1237648703509102787,196.591389104522,-0.827958596228451,20.55509,18.5024,17.25141,16.77685,16.43557,4.15409,4.091297,0.1903572,2.753662E-05
1237648703509102812,196.612641295605,-0.806040928321794,18.73435,16.83528,15.89845,15.49562,15.14348,9.275352,9.284189,0.08417733,2.524181E-05
1237648703509102821,196.623458914,-0.797385298995016,19.27567,17.23888,16.27929,15.86932,15.52172,4.892205,4.858074,0.08421105,9.506668E-06
1237648703509102894,196.610674613897,-0.766413543737301,23.37501,20.43116,18.63454,17.90352,17.50083,5.294954,5.004874,0.4082415,0.0001076947
1237648703509103038,196.498958971693,-0.756573016420054,23.01451,21.71211,20.33726,19.54322,19.01892,3.74871,2.969812,0.4488485,4.093637E-05
1237648703509103279,196.58959533977,-0.7507410895644,25.32734,22.34585,20.90431,19.87692,19.29685,11.3051,1.815009,0.7269109,7.171656E-05
1237648703509103348,196.615204900852,-0.636579377190501,25.68008,22.66198,20.91925,19.99116,19.48007,2.922049,1.466841,0.4965194,0.0001461837
1237648703509168241,196.641808270847,-0.828008426088092,20.34961,18.60704,17.47729,17.01324,16.65961,4.465478,4.142004,0.1880652,2.50659E-05
1237648703509168586,196.681323983735,-0.7990833273988,26.03651,21.95812,20.44868,19.6109,19.12269,4.237884,2.538487,0.4649478,0.0001175722
1237648703509168868,196.784400159027,-0.729248252491484,22.16912,21.94271,21.15107,20.35842,20.26022,2.218715,2.486966,0.7734563,6.257633E-05
1237648703509234027,196.809332179905,-0.759810260467904,23.30436,22.17904,21.3988,20.31763,19.74961,2.712673,2.399588,0.7756866,0.000155644
1237648703509234058,196.826552042808,-0.693057058718521,22.0676,21.28756,19.81596,19.05474,18.60541,7.357911,4.073462,0.4956272,0.0001074901
1237648703509234116,196.848973380395,-0.683617977371065,23.48505,22.13589,20.60666,19.64406,19.14093,2.929169,2.969511,0.4924391,0.0001207034
1237648703509234174,196.868763399058,-0.792703388976374,23.41312,22.87189,21.34436,20.26905,19.6636,1.892502,1.076403,0.5428151,0.000135313
1237648703509234431,196.88381233332,-0.678367904140527,23.27057,22.69393,20.82555,19.75783,19.20632,2.364831,27.91742,0.5427747,0.0001440404
1237648703509299317,196.940397685759,-0.789318905849546,19.88979,18.18502,17.38777,17.00101,16.69843,2.771452,2.792738,0.09148846,1.947902E-05
1237648703509299408,197.05613828826,-0.632529777162521,19.6536,17.94429,17.05017,16.65057,16.31348,5.25641,5.354593,0.09564068,2.870688E-05
1237648703509364815,197.20880175448,-0.817319435222465,15.93799,13.99257,13.07748,12.59386,12.25992,20.25006,21.31343,0.01794305,8.769841E-06
1237648703509364817,197.230618281386,-0.801618891011878,18.58268,15.26611,14.36209,19.95104,13.60214,12.41474,14.39961,0.01906901,8.094142E-06
1237648703509364939,197.102410161033,-0.654978887054518,19.71032,18.25183,17.36707,16.84723,16.47877,5.60396,6.063432,0.105245,1.146764E-05
1237648703509364989,197.184505939901,-0.766833966219346,19.06416,17.53435,16.94957,16.66784,16.46516,9.897797,9.863911,0.01868426,5.411265E-05
1237648703509365002,197.189664441177,-0.788374766418241,19.77949,17.67022,16.3778,15.87219,15.49681,9.072244,9.286417,0.1883504,3.146169E-05
1237648703509365035,197.230677475121,-0.698708308001954,18.82988,17.53276,16.89593,16.50574,16.27493,3.930337,3.830112,0.08218905,6.873332E-06
1237648703509365449,197.178827358887,-0.714916350601664,22.32732,21.52714,20.6134,19.6472,19.26743,1.876044,2.041631,0.6715352,8.271826E-05
